Institute,Program,Quota,Category,Gender,Opening Rank,Closing Rank,Closed_In_Round,Institute_Type
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,269025,575840,3,GFTI
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,595820,627883,3,GFTI
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,477900,775557,1,GFTI
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,657395,1108123,1,GFTI
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),606929,687564,2,GFTI
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,1191984,1191984,3,GFTI
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,765687,806959,1,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",All India,EWS,Gender-Neutral,13180,14950,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",All India,OBC-NCL,Gender-Neutral,2698,2985,1,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",All India,OPEN,Gender-Neutral,2041,2053,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",All India,SC,Gender-Neutral,11129,11129,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",All India,ST,Gender-Neutral,14227,14227,2,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",Home State,OPEN,Gender-Neutral,19050,19050,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",Home State,ST,Gender-Neutral,26922,26922,1,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,31199,31419,2,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,39077,39895,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,OBC-NCL (PwD),Gender-Neutral,511488,511488,1,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,OPEN,Female-only (including Supernumerary),39349,39363,2,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,26762,27324,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,OPEN (PwD),Gender-Neutral,1065859,1065859,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,172387,172387,2,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,265654,265654,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,67001,67001,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),58715,58715,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,38423,38423,2,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,244675,244778,1,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,668575,668575,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,130531,148385,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,135923,157573,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",All India,OPEN,Female-only (including Supernumerary),70853,70853,1,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,100180,117814,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,354905,354905,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,1032294,1032294,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,350990,385864,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),292573,306439,3,GFTI
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,252813,338040,3,GFTI
